year,team_name,player_name,ab,r,h,rbi,bb,so,po,a,lob
2015,Seattle WA Studs,Connor Savage cf,4,0,4,1,,,,,
2015,Seattle WA Studs,Levi Jordan 2b,5,0,1,0,,,,,
2015,Seattle WA Studs,Ty Holm lf,2,0,1,2,,,,,
2015,Seattle WA Studs,Kyle Boe 3b,3,0,0,0,,,,,
2015,Seattle WA Studs,Matt Becker rf,5,1,2,0,,,,,
2015,Seattle WA Studs,Nathan Backes dh,4,1,1,1,,,,,
2015,Seattle WA Studs,Jose Ruiz 1b,4,1,1,0,,,,,
2015,Seattle WA Studs,Garrett Breda c,4,1,1,0,,,,,
2015,Seattle WA Studs,Dylan LaVelle ss,4,1,2,1,,,,,
2015,Haysville KS Aviators,Casey Maack 2b,4,0,1,0,,,,,
2015,Haysville KS Aviators,Tyler Tokunaga ss,4,1,1,0,,,,,
2015,Haysville KS Aviators,Dan Holst rf,4,1,3,0,,,,,
2015,Haysville KS Aviators,Trevor Karbowski 1b,4,0,1,1,,,,,
2015,Haysville KS Aviators,Jake Lamoreux cf,1,0,1,0,,,,,
2015,Haysville KS Aviators,Adam Bauer ph/lf,3,0,1,0,,,,,
2015,Haysville KS Aviators,Jason Serchay dh,3,0,1,0,,,,,
2015,Haysville KS Aviators,Dan Wasinger ph,1,0,1,0,,,,,
2015,Haysville KS Aviators,Cody Duplechin 3b,3,0,0,0,,,,,
2015,Haysville KS Aviators,Steve Coe c,3,0,0,0,,,,,
2015,Haysville KS Aviators,Dan Stoltzfus ph,1,0,0,0,,,,,
2015,Haysville KS Aviators,Gavin Gregory lf/cf,4,0,1,0,,,,,
