year,team_name,player_name,decision,ip,h,r,er,bb,so
2024,Hays KS Larks,Nolan Wilson,,3.1,8,3,3,2,5
2024,Hays KS Larks,Aiden Schmidgall,,1.0,1,0,0,1,0
2024,Hays KS Larks,Matthew Sapakoff,,1.0,0,0,0,2,1
2024,Hays KS Larks,Adrian Najar,,1.1,1,0,0,0,2
2024,Hays KS Larks,Dalton Campbell,"W,2-0",0.2,0,0,0,0,1
2024,Hays KS Larks,Garrett Hicks,"S,4",1.2,0,0,0,1,3
2024,Hutchinson KS Monarchs,Ian Regal,,5.0,4,2,2,3,6
2024,Hutchinson KS Monarchs,Ian Lanik,"L,0-2",3.0,4,2,2,0,2
2024,Hutchinson KS Monarchs,Cole Toureau,,0.0,0,3,2,3,0
2024,Hutchinson KS Monarchs,Reed Scott,,1.0,1,0,0,0,1
